record_id,governorate,city,region,year,month,date,latitude,longitude,utm32_easting,utm32_northing,population_density,urban_index,temperature_c,rainfall_mm,humidity_pct,ndvi_score,drought_pressure_score,electricity_pressure_score,tourism_pressure_score,observed_index,data_nature,observed_lag_1,observed_lag_2,observed_lag_3,observed_lag_6,observed_lag_12,rolling_mean_3,rolling_mean_6,target_stage1_tabular_score,target_stage2_lstm_score,lstm_agri_price_next_3m
EX24_Ariana_2017_01,Ariana,Ariana,Nord-Est,2017,1,2017-01-15,36.801522,10.192484,606379.84,4073518.15,1800,86.0,12.22,101.9,85.65,72.46,21.81,73.94,65.18,37.05,données du projet,41.29,50.48,64.35,83.22,24.04,52.04,67.23,17.16,47.13,47.13
EX24_Ariana_2017_02,Ariana,Ariana,Nord-Est,2017,2,2017-02-15,36.832852,10.181435,605351.2,4076981.52,1800,86.0,11.57,78.95,83.56,73.9,20.23,80.43,77.03,29.34,données du projet,37.05,41.29,50.48,84.56,31.94,42.94,59.535,46.36,60.05,60.05
EX24_Ariana_2017_03,Ariana,Ariana,Nord-Est,2017,3,2017-03-15,36.906929,10.127179,600415.86,4085141.0,1800,86.0,16.57,73.63,87.31,70.33,22.47,90.58,71.22,44.78,données du projet,29.34,37.05,41.29,79.48,50.99,35.89333333333334,50.331666666666656,51.52,73.87,73.87
EX24_Ariana_2017_04,Ariana,Ariana,Nord-Est,2017,4,2017-04-15,36.865477,10.18444,605574.33,4080604.22,1800,86.0,25.06,37.1,73.63,67.72,63.36,85.99,71.91,62.46,données du projet,44.78,29.34,37.05,64.35,48.46,37.056666666666665,44.54833333333334,66.19,70.74,70.74
EX24_Ariana_2017_05,Ariana,Ariana,Nord-Est,2017,5,2017-05-15,36.901159,10.121643,599930.23,4084495.07,1800,86.0,22.5,53.88,63.67,65.81,53.43,94.99,66.13,71.21,données du projet,62.46,44.78,29.34,50.48,58.48,45.52666666666667,44.23333333333333,81.71,75.44,75.44
EX24_Ariana_2017_06,Ariana,Ariana,Nord-Est,2017,6,2017-06-15,36.851119,10.104669,598482.13,4078926.1,1800,86.0,32.39,45.85,58.3,56.83,71.31,94.26,89.81,74.78,données du projet,71.21,62.46,44.78,41.29,69.66,59.48333333333333,47.68833333333333,52.98,68.89,68.89
EX24_Ariana_2017_07,Ariana,Ariana,Nord-Est,2017,7,2017-07-15,36.853845,10.115656,599458.16,4079239.95,1800,86.0,34.03,14.94,53.73,50.51,79.56,94.3,100.0,76.0,données du projet,74.78,71.21,62.46,37.05,83.22,69.48333333333333,53.27,84.7,67.5,67.5
EX24_Ariana_2017_08,Ariana,Ariana,Nord-Est,2017,8,2017-08-15,36.84906,10.166857,604029.22,4078763.65,1800,86.0,33.48,32.49,59.5,50.72,73.79,100.0,94.32,79.15,données du projet,76.0,74.78,71.21,29.34,84.56,73.99666666666666,59.76166666666666,57.1,56.53,56.53
EX24_Ariana_2017_09,Ariana,Ariana,Nord-Est,2017,9,2017-09-15,36.841339,10.144661,602060.6,4077883.14,1800,86.0,29.01,37.06,70.07,50.56,61.75,95.63,93.32,61.03,données du projet,79.15,76.0,74.78,44.78,79.48,76.64333333333333,68.06333333333333,44.45,43.13,43.13
EX24_Ariana_2017_10,Ariana,Ariana,Nord-Est,2017,10,2017-10-15,36.868639,10.190266,606089.23,4080961.4,1800,86.0,19.22,81.2,75.93,61.94,44.18,84.14,52.83,61.89,données du projet,61.03,79.15,76.0,62.46,64.35,72.06,70.77166666666666,43.66,33.17,33.17
EX24_Ariana_2017_11,Ariana,Ariana,Nord-Est,2017,11,2017-11-15,36.86869,10.139422,601557.24,4080911.76,1800,86.0,11.2,86.69,81.46,75.65,29.48,83.47,70.39,44.11,données du projet,61.89,61.03,79.15,71.21,50.48,67.35666666666667,70.67666666666666,23.75,36.8,36.8
EX24_Ariana_2017_12,Ariana,Ariana,Nord-Est,2017,12,2017-12-15,36.896838,10.130793,600751.08,4084025.37,1800,86.0,12.65,95.82,78.51,71.59,22.31,85.24,68.79,31.07,données du projet,44.11,61.89,61.03,74.78,41.29,55.67666666666667,66.16000000000001,29.47,38.66,38.66
EX24_Ariana_2018_01,Ariana,Ariana,Nord-Est,2018,1,2018-01-15,36.866322,10.209194,607779.6,4080725.61,1800,86.0,13.85,87.63,85.7,73.35,25.91,81.49,61.93,34.2,données du projet,31.07,44.11,61.89,76.0,37.05,45.69,58.875,52.99,46.79,46.79
EX24_Ariana_2018_02,Ariana,Ariana,Nord-Est,2018,2,2018-02-15,36.818514,10.172362,604561.63,4075380.94,1800,86.0,11.29,88.71,82.12,79.34,8.87,62.7,62.28,46.72,données du projet,34.2,31.07,44.11,79.15,29.34,36.46,51.90833333333333,39.48,55.86,55.86
EX24_Ariana_2018_03,Ariana,Ariana,Nord-Est,2018,3,2018-03-15,36.86434,10.158305,603246.23,4080449.46,1800,86.0,18.66,76.91,75.65,65.94,33.07,78.2,78.39,44.69,données du projet,46.72,34.2,31.07,61.03,44.78,37.330000000000005,46.50333333333333,61.59,57.9,57.9
